"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Fluxo",10,6,4,34.1,139,127,1.09,0.78,0.02,"-0.3%",51.4,8.6,-364,"70%","40%","40%",4,"30%","70%","60%","50%","60%","53%","50.6%","50.6%",3.09,1.29,1.8
"FURIA",10,5,5,37.1,149,125,1.19,0.74,0.21,"3.0%",49.8,0.2,203,"60%","40%","20%",3.9,"50%","20%","53%","0%","60%","50%","49.9%","50.5%",3.54,1.56,1.59
"INTZ",10,7,3,33.8,154,128,1.2,0.83,0.7,"3.8%",60.8,9.2,913,"90%","40%","40%",5,"70%","60%","61%","100%","70%","68%","49.9%","50.8%",3.28,1.36,1.59
"KaBuM! Esports",10,0,10,31.7,72,176,0.41,0.78,-1.43,"-10.1%",36.2,-36.2,-940,"50%","50%","30%",5.2,"20%","30%","24%","0%","30%","21%","48.9%","46.2%",3.47,1.5,1.37
"Liberty",10,1,9,35.1,116,183,0.63,0.85,-0.48,"-7.2%",49,-39,20,"50%","70%","50%",3.7,"60%","60%","46%","33%","20%","21%","48.7%","49.9%",3.48,1.6,1.35
"Los Grandes",10,3,7,31.7,115,156,0.74,0.86,-0.62,"-3.4%",50.9,-20.9,-26,"40%","20%","40%",3.7,"45%","60%","43%","33%","20%","24%","51.5%","45.6%",3.24,1.35,1.58
"LOUD",10,7,3,33.6,170,148,1.15,0.95,0.3,"2.3%",48.2,21.8,-137,"30%","70%","80%",5.5,"75%","60%","60%","0%","70%","65%","49.9%","50.8%",3.23,1.25,1.42
"paiN Gaming",10,7,3,33.8,159,108,1.47,0.79,0.33,"4.8%",51.7,18.3,263,"20%","80%","70%",4.5,"45%","50%","49%","50%","70%","61%","50.7%","50.4%",3.45,1.45,1.96
"RED Canids",10,9,1,37.2,182,121,1.5,0.82,0.46,"4.4%",42.6,47.4,-462,"40%","40%","60%",4.7,"55%","40%","48%","83%","60%","78%","49.8%","53.2%",3.96,1.52,1.56
"Vivo Keyd Stars",10,5,5,30.8,144,129,1.12,0.88,0.37,"2.7%",59.4,-9.4,530,"50%","50%","70%",4.8,"50%","50%","54%","100%","40%","40%","50.0%","51.9%",3.36,1.53,1.5
