"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Fluxo Academy",8,3,5,32.7,103,110,0.94,0.81,0.18,"1.2%",50,-12.5,-427,"50%","13%","50%",4.6,"56%","50%","46%",,"75%","62%","49.7%","51.5%",2.78,1.08,1.56
"FURIA Academy",8,3,5,31.3,94,122,0.77,0.86,-0.61,"-5.6%",48.6,-11.1,-361,"38%","38%","25%",3.1,"50%","75%","54%",,"50%","45%","49.1%","45.9%",3.13,1.54,1.49
"INTZ Academy",8,2,6,30,79,122,0.65,0.84,0.21,"-1.0%",62.3,-37.3,1007,"75%","50%","88%",4.4,"50%","63%","44%","0%","25%","18%","50.7%","50.5%",3.16,1.61,1.41
"KaBuM! Academy",8,5,3,31.3,105,90,1.17,0.78,0.93,"5.0%",58.5,4,850,"38%","63%","75%",5.8,"56%","38%","42%","50%","63%","58%","50.6%","54.1%",3.44,1.28,1.42
"Liberty Academy",8,4,4,35.5,127,122,1.04,0.88,-0.13,"-0.1%",47.3,2.7,-213,"38%","38%","38%",4.5,"50%","38%","56%",,"38%","31%","50.9%","47.2%",3.57,1.26,1.5
"Los Grandes Academy",8,5,3,33.1,111,91,1.22,0.76,0.1,"0.4%",56.4,6.1,347,"50%","88%","63%",3.6,"56%","63%","55%","100%","63%","46%","49.9%","50.0%",3.26,1.22,1.4
"LOUD Academy",8,4,4,33.1,112,120,0.93,0.87,-0.88,"-3.7%",30.6,19.4,-1333,"25%","38%","38%",2.8,"44%","38%","44%","100%","25%","50%","49.2%","48.7%",3.18,1.31,1.39
"paiN Gaming Academy",8,4,4,31.5,92,114,0.81,0.82,-0.83,"-5.4%",35.6,14.4,-1248,"38%","50%","38%",3.5,"31%","38%","49%",,"38%","58%","49.0%","48.2%",3.09,1.33,1.13
"RED Academy",8,4,4,30.5,113,107,1.06,0.9,-0.59,"-2.0%",37,13,-833,"63%","50%","25%",4.8,"38%","50%","47%","0%","50%","54%","49.8%","47.3%",3.34,1.49,1.47
"Vivo Keyd Stars Academy",8,6,2,28.6,134,74,1.81,0.91,1.84,"11.2%",73.8,1.2,2211,"88%","75%","63%",6,"69%","50%","62%","0%","75%","82%","51.1%","56.7%",3.02,1.1,1.48
