"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Dplus KIA",23,14,9,29.8,290,197,1.47,0.71,0.64,"4.6%",58.3,2.5,644,"52%","43%","52%",5.4,"52%","74%","64%","50%","57%","66%","49.9%","51.7%",3.48,1.44,1.67
"DRX",24,8,16,30.6,206,337,0.61,0.74,-1.19,"-9.0%",31.6,1.7,-1813,"25%","25%","25%",4.2,"54%","25%","35%","50%","33%","44%","48.4%","47.1%",3.51,1.46,1.69
"Gen.G",23,20,3,28.8,304,159,1.91,0.7,1.16,"8.7%",63.1,23.9,1154,"74%","83%","78%",5.6,"43%","48%","65%","50%","74%","78%","51.5%","56.2%",3.3,1.05,1.74
"Hanwha Life Esports",23,14,9,31.2,289,240,1.2,0.73,0,"2.9%",49.5,11.4,144,"57%","52%","57%",4.3,"46%","48%","47%","75%","39%","53%","50.5%","51.8%",3.57,1.63,1.58
"KT Rolster",22,19,3,29,305,148,2.06,0.71,1.18,"7.7%",66.8,19.6,1446,"55%","68%","68%",4.7,"50%","64%","66%",,"77%","75%","50.5%","52.0%",3.47,1.38,1.51
"Kwangdong Freecs",20,8,12,32.9,221,270,0.82,0.75,0.53,"-0.3%",55,-15,524,"55%","55%","65%",5.1,"58%","55%","52%","50%","25%","28%","50.6%","49.9%",3.43,1.51,1.68
"Liiv SANDBOX",23,6,17,32.8,249,342,0.73,0.78,-0.66,"-3.5%",39.3,-13.3,-1130,"39%","48%","43%",3.7,"46%","48%","40%","50%","52%","42%","50.1%","47.0%",3.78,1.73,1.81
"Nongshim RedForce",23,6,17,30.5,204,304,0.67,0.72,-1.13,"-6.0%",37.6,-11.6,-957,"43%","30%","13%",3.1,"48%","52%","39%",,"26%","33%","48.9%","46.6%",3.75,1.71,1.7
"OKSavingsBank BRION",24,6,18,32.3,178,255,0.7,0.56,-0.67,"-6.8%",44.6,-19.6,-413,"63%","33%","33%",3.6,"50%","38%","41%","25%","38%","41%","48.8%","47.9%",3.39,1.43,1.78
"T1",23,13,10,30.3,265,267,0.99,0.76,0.52,"2.7%",56.6,-0.1,628,"39%","65%","70%",5.5,"54%","52%","56%",,"48%","53%","51.0%","50.3%",3.51,1.44,1.68
