"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Dplus KIA Challengers",20,20,0,28.6,345,130,2.65,0.83,2.5,"17.0%",74.5,25.5,2532,"55%","90%","100%",5.7,"41%","70%","76%",,"90%","88%","52.2%","59.2%",3.15,1.32,1.59
"DRX Challengers",26,15,11,31.5,302,327,0.92,0.77,0.08,"-0.6%",48.1,9.6,80,"38%","62%","58%",4.2,"46%","50%","51%","50%","42%","40%","50.2%","51.0%",3.39,1.24,1.59
"Gen.G Global Academy",25,12,13,32.3,304,285,1.07,0.73,0.06,"-1.5%",48.6,-0.6,21,"40%","48%","40%",3.4,"56%","16%","54%","50%","44%","45%","50.1%","51.6%",3.52,1.39,1.6
"Hanwha Life Esports Challengers",22,14,8,31.1,280,204,1.37,0.7,0.55,"2.9%",58.7,5,562,"55%","59%","64%",5,"66%","59%","58%","60%","64%","62%","49.5%","51.5%",3.3,1.26,1.43
"KT Rolster Challengers",24,12,12,30.2,247,254,0.97,0.69,-0.1,"0.0%",46.2,3.8,-25,"46%","54%","54%",4.1,"50%","38%","39%","0%","54%","55%","50.3%","47.0%",3.22,1.49,1.54
"Kwangdong Freecs Challengers",23,5,18,29.9,218,348,0.63,0.82,-0.33,"-6.6%",52.7,-30.9,65,"65%","35%","30%",4.3,"56%","52%","40%",,"26%","31%","49.3%","46.9%",3.02,1.25,1.38
"Liiv SANDBOX Youth",21,6,15,33,211,324,0.65,0.77,-1.52,"-8.9%",31.6,-3,-1901,"62%","24%","14%",2.8,"36%","48%","36%","50%","19%","39%","48.4%","44.5%",3.43,1.36,1.51
"Nongshim Esports Academy",22,14,8,28.8,283,275,1.03,0.88,-0.57,"0.6%",42.6,21.1,-1008,"41%","36%","55%",3,"39%","59%","51%",,"55%","61%","50.8%","50.7%",3.3,1.32,1.61
"OKSavingsBank BRION Challengers",23,11,12,31.1,295,252,1.17,0.77,-0.13,"0.3%",52,-4.2,16,"35%","39%","52%",3.8,"57%","57%","51%",,"65%","57%","49.6%","47.4%",3.23,1.42,1.62
"T1 Esports Academy",22,5,17,31.2,257,350,0.73,0.88,-0.18,"-1.5%",47.3,-24.6,-217,"68%","55%","36%",4.4,"52%","59%","49%","50%","32%","31%","49.7%","50.8%",3.18,1.4,1.53
