"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"100 Thieves",12,5,7,31.3,102,137,0.74,0.64,-0.91,"-4.6%",38.2,3.5,-1356,"42%","25%","17%",4,"33%","58%","51%","0%","50%","47%","50.0%","49.0%",3.07,1.09,1.41
"Cloud9",12,9,3,27.6,176,114,1.54,0.87,1.46,"9.1%",70.9,4.1,1778,"58%","75%","67%",5.3,"63%","83%","71%",,"67%","59%","50.7%","58.1%",3.15,0.97,1.39
"Dignitas",12,6,6,32,153,185,0.83,0.88,-1.17,"-6.5%",34.4,15.6,-1498,"33%","50%","42%",4.1,"29%","42%","46%",,"42%","47%","49.7%","46.8%",2.98,1.11,1.55
"Evil Geniuses",12,9,3,29.8,175,123,1.42,0.83,1.52,"10.0%",69.7,5.3,1517,"42%","67%","75%",6.3,"67%","50%","63%",,"75%","79%","50.2%","56.1%",3.12,1.21,1.29
"FlyQuest",12,3,9,32.7,114,167,0.68,0.72,-1.03,"-5.4%",40.4,-15.4,-792,"58%","25%","17%",4.1,"46%","67%","36%","100%","33%","33%","49.5%","45.3%",3.14,1.3,1.4
"Golden Guardians",12,8,4,33.3,188,148,1.27,0.84,0.66,"6.4%",54.6,12.1,669,"58%","58%","75%",5.2,"50%","50%","49%","100%","50%","57%","51.2%","52.3%",3.36,1.26,1.44
"Immortals",12,2,10,29.3,92,193,0.48,0.81,-2.24,"-16.4%",27.2,-10.5,-2760,"33%","33%","17%",2.5,"25%","42%","30%",,"8%","13%","48.8%","41.9%",3.07,1.07,1.24
"NRG",12,5,7,33.6,152,160,0.95,0.77,0.07,"-2.3%",44.8,-3.2,-43,"33%","50%","50%",4.2,"46%","17%","38%","0%","50%","52%","48.9%","49.9%",3.5,1.38,1.39
"Team Liquid",12,7,5,31.9,185,119,1.55,0.8,1.44,"9.2%",69.6,-11.3,2253,"75%","75%","75%",5.1,"83%","67%","65%","0%","58%","57%","51.2%","52.7%",3.33,1.38,1.6
"TSM",12,6,6,31.6,143,135,1.06,0.73,0.27,"0.6%",50.3,-0.3,231,"67%","42%","67%",4.3,"58%","25%","53%",,"58%","47%","49.8%","48.0%",3.48,1.18,1.39
