"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Astralis",9,3,6,29.2,84,129,0.65,0.81,-0.21,"-2.8%",51.4,-18.1,341,"44%","56%","44%",5.4,"67%","56%","45%",,"33%","40%","49.2%","47.2%",3.2,1.04,1.11
"Excel Esports",9,5,4,33.3,121,101,1.2,0.74,-0.46,"0.2%",38.1,17.4,-1194,"11%","44%","44%",4,"56%","33%","48%","67%","44%","53%","49.9%","51.3%",3.57,1.21,1.34
"Fnatic",9,7,2,32,153,90,1.7,0.84,1.51,"9.1%",63.7,14.1,1523,"67%","44%","78%",4,"41%","33%","67%","0%","78%","64%","50.4%","53.8%",2.81,0.94,1.46
"G2 Esports",9,8,1,31.4,136,83,1.64,0.78,1.68,"9.5%",71.3,17.6,1826,"44%","100%","89%",7,"61%","44%","64%",,"78%","77%","49.9%","56.6%",2.98,0.9,1.31
"KOI",9,4,5,33.1,94,94,1,0.63,0.05,"-0.5%",52,-7.6,373,"67%","56%","56%",5.1,"44%","44%","39%",,"22%","38%","50.6%","46.5%",3.09,1.12,1.28
"MAD Lions",9,4,5,32.3,116,149,0.78,0.91,-0.41,"-4.5%",51.7,-7.2,-68,"22%","56%","44%",5.1,"22%","78%","51%",,"44%","40%","50.5%","50.4%",3.02,1.08,1.24
"SK Gaming",9,4,5,33,124,124,1,0.83,-0.47,"-3.1%",43.1,1.3,-409,"67%","33%","56%",5.2,"67%","33%","41%","0%","56%","57%","49.3%","46.4%",3.17,1.19,1.36
"Team BDS",9,4,5,32.3,96,116,0.83,0.73,-0.98,"-3.1%",36.1,8.4,-1542,"44%","33%","33%",4.3,"50%","56%","42%","75%","67%","47%","49.9%","47.2%",2.84,1,1.38
"Team Heretics",9,5,4,33,128,115,1.11,0.82,-0.05,"0.5%",49.9,5.7,-380,"78%","44%","22%",3.3,"44%","67%","63%","100%","44%","43%","50.6%","48.5%",3.11,1.04,1.38
"Team Vitality",9,1,8,31.3,76,129,0.59,0.73,-0.61,"-5.3%",42.8,-31.7,-469,"56%","33%","33%",5.8,"47%","56%","40%",,"33%","38%","49.6%","52.2%",3.3,0.94,1.34
