"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Anyone's Legend",35,12,23,31,371,490,0.76,0.79,,"-5.4%",,,,"40%",,,,,,"46%",,,"41%","49.6%","48.8%",3.26,1.4,1.48
"Bilibili Gaming",32,26,6,29.5,564,359,1.57,0.98,,"9.2%",,,,"66%",,,,,,"63%",,,"71%","50.5%","54.2%",3.45,1.36,1.6
"EDward Gaming",36,19,17,31.1,476,486,0.98,0.86,,"1.8%",,,,"44%",,,,,,"52%",,,"57%","50.4%","51.5%",3.4,1.31,1.72
"FunPlus Phoenix",33,12,21,29.8,318,456,0.7,0.79,,"-5.3%",,,,"48%",,,,,,"35%",,,"36%","49.4%","47.4%",3.27,1.24,1.55
"Invictus Gaming",31,9,22,30.2,376,484,0.78,0.92,,"-7.5%",,,,"45%",,,,,,"51%",,,"30%","49.5%","47.7%",3.22,1.24,1.39
"JD Gaming",30,23,7,29,509,308,1.65,0.94,,"9.2%",,,,"60%",,,,,,"61%",,,"61%","51.2%","56.0%",3.48,1.22,1.63
"LGD Gaming",31,9,22,32.2,331,442,0.75,0.77,,"-3.7%",,,,"45%",,,,,,"40%",,,"43%","49.3%","47.4%",3.28,1.34,1.55
"LNG Esports",29,19,10,30.8,423,317,1.33,0.83,,"2.7%",,,,"69%",,,,,,"51%",,,"56%","50.3%","49.9%",3.17,1.32,1.6
"Ninjas in Pyjamas",30,13,17,28.7,327,362,0.9,0.8,,"-1.7%",,,,"43%",,,,,,"44%",,,"56%","49.7%","50.1%",3.31,1.24,1.52
"Oh My God",33,17,16,28.9,391,411,0.95,0.84,,"-0.5%",,,,"55%",,,,,,"49%",,,"58%","49.8%","50.0%",3.24,1.05,1.52
"Rare Atom",31,12,19,30,353,460,0.77,0.87,,"-1.4%",,,,"48%",,,,,,"43%",,,"49%","49.6%","49.9%",3.42,1.23,1.47
"Royal Never Give Up",32,18,14,30,446,398,1.12,0.88,,"3.2%",,,,"56%",,,,,,"57%",,,"53%","50.1%","50.0%",3.52,1.32,1.63
"Team WE",31,18,13,31.2,388,329,1.18,0.74,,"1.4%",,,,"52%",,,,,,"50%",,,"56%","50.1%","47.5%",3.76,1.2,1.69
"ThunderTalk Gaming",36,15,21,32.8,440,479,0.92,0.78,,"-2.2%",,,,"50%",,,,,,"51%",,,"38%","50.2%","49.7%",3.36,1.3,1.58
"Top Esports",34,21,13,30.5,447,345,1.3,0.76,,"2.0%",,,,"59%",,,,,,"60%",,,"52%","50.6%","49.6%",3.24,1.41,1.7
"Ultra Prime",30,9,21,28.1,294,440,0.67,0.87,,"-6.9%",,,,"30%",,,,,,"48%",,,"39%","49.1%","49.5%",3.2,1.23,1.4
"Weibo Gaming",32,21,11,30.3,398,297,1.34,0.71,,"5.7%",,,,"34%",,,,,,"51%",,,"66%","50.5%","50.9%",3.24,1.35,1.68
