"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Berlin International Gaming",14,8,6,31.4,216,190,1.14,0.92,0.03,"1.5%",59.1,-1.9,510,"36%","50%","57%",5.1,"71%","64%","55%","50%","57%","46%","49.5%","51.3%",3.12,1.06,1.31
"E WIE EINFACH E-SPORTS",14,7,7,29.9,186,202,0.92,0.93,-0.05,"-1.0%",59.8,-9.8,272,"64%","43%","79%",5.1,"50%","71%","59%","100%","29%","40%","50.4%","49.4%",2.98,1.04,1.12
"Eintracht Frankfurt",14,2,12,35.3,183,264,0.69,0.9,-1.17,"-4.9%",32.9,-18.6,-1476,"50%","36%","21%",3.4,"25%","36%","43%","33%","29%","33%","50.2%","46.9%",2.97,0.77,1.2
"Eintracht Spandau",14,12,2,32.1,189,127,1.49,0.7,1.27,"7.8%",67.8,18,1485,"64%","64%","79%",5.1,"63%","57%","59%","0%","79%","78%","50.5%","52.7%",3.42,1.33,1.47
"FC Schalke 04 Esports",14,7,7,34.7,173,161,1.07,0.69,0.28,"0.0%",51.8,-1.8,396,"71%","50%","50%",4.1,"32%","29%","53%","67%","57%","48%","49.6%","49.4%",3.21,1.2,1.38
"GamerLegion",14,4,10,33.3,188,196,0.96,0.82,-0.67,"-3.1%",32.6,-4,-1252,"14%","7%","14%",3.1,"54%","36%","37%","67%","43%","46%","49.2%","49.5%",3,1.05,1.36
"MOUZ",14,7,7,33,200,183,1.09,0.83,0.13,"-0.4%",48.5,1.5,99,"57%","57%","50%",3.9,"71%","50%","52%","100%","71%","67%","49.4%","44.0%",2.52,0.97,1.46
"NNO Prime",14,2,12,31.5,107,206,0.52,0.71,-1.29,"-9.1%",25.6,-11.4,-1638,"21%","43%","7%",3.8,"43%","36%","32%","0%","14%","22%","49.5%","47.9%",3.01,1.05,1.19
"SK Gaming Prime",14,11,3,31.2,211,122,1.73,0.76,0.93,"5.3%",61.6,17,774,"64%","71%","71%",5.3,"61%","64%","60%",,"64%","61%","50.3%","54.4%",2.99,1.08,1.28
"Unicorns of Love Sexy Edition",14,10,4,30.8,189,191,0.99,0.88,0.68,"3.8%",60.4,11.1,830,"57%","79%","71%",5.9,"30%","57%","48%",,"57%","61%","51.2%","54.5%",2.93,0.98,1.24
