"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Alior Bank Team",13,8,5,33.5,222,200,1.11,0.97,0.38,"5.7%",58,3.5,542,"38%","69%","77%",4.6,"60%","54%","42%","0%","46%","48%","51.1%","52.7%",3.17,0.99,1.2
"exeed",13,6,7,31.1,215,211,1.02,1.05,-0.19,"-1.3%",45.9,0.3,-236,"38%","62%","31%",5.1,"46%","46%","51%",,"62%","56%","49.2%","50.4%",2.81,0.91,1.16
"Grypciocraft Esports",13,2,11,30.5,139,217,0.64,0.9,-0.73,"-12.0%",39.8,-24.5,-516,"77%","31%","38%",3.2,"40%","31%","36%",,"23%","39%","48.8%","47.0%",2.65,0.92,1.04
"Illuminar Gaming",13,7,6,29.7,176,175,1.01,0.91,0.71,"1.8%",55.2,-1.4,1052,"62%","62%","62%",4.7,"42%","46%","55%","100%","54%","56%","50.5%","49.5%",2.57,0.89,1
"Iron Wolves",13,6,7,31.3,195,232,0.84,1.05,-0.16,"0.3%",47.3,-1.1,-2,"31%","46%","38%",5.2,"42%","46%","52%",,"38%","42%","50.4%","52.8%",2.61,0.76,1.05
"Komil & Friends",13,1,12,30.2,131,244,0.54,0.95,-1.32,"-11.3%",33.3,-25.6,-1952,"31%","31%","15%",3.9,"62%","38%","30%",,"31%","28%","48.1%","44.2%",2.5,0.94,0.93
"Maturalni Forsaken",13,8,5,30.5,183,204,0.9,0.97,-0.62,"2.0%",43.6,17.9,-1472,"46%","46%","54%",3,"65%","54%","55%","50%","54%","60%","50.4%","49.6%",2.74,0.94,1.09
"Orbit Anonymo",13,9,4,30,192,135,1.42,0.84,0.55,"1.0%",57.9,11.3,344,"69%","38%","46%",4.8,"31%","62%","63%",,"46%","50%","50.2%","51.5%",2.57,0.7,1.07
"Team ESCA Gaming",13,6,7,29.9,177,175,1.01,0.9,-0.33,"-2.3%",47.5,-1.3,-239,"62%","38%","46%",4.6,"54%","62%","51%",,"54%","44%","49.1%","48.7%",3.03,0.95,1.16
"Zero Tenacity",13,12,1,27.1,240,83,2.89,0.91,1.9,"16.1%",71.5,20.8,2479,"38%","77%","92%",5.8,"58%","62%","71%",,"85%","86%","52.3%","53.6%",2.85,1.01,1.12
